Content;Consumer Sentiment Classifier;Automatic Classifier
Realmente el estudio es un sacrificio, si bien es ciero este curso ayudo muhco, a poder hacer un seguimiento al codigo, para saber en que parte se cae y en que no, se aprendio mucho sobre todas las herramientas que dijo que habria, ahora toca seguir reforzando con otros cursos mas, ahora ire por uno de javascript y luego uno de react, sacrifiquense, que aunque crean que es muy dificil si se puede;Positive;Course Recommendation
Curso increible, super recomendado, el profesor sabe explicar bien y es super inteligente, le doy 5 estrellas!  lo unico es que existieron momentos un poco complicados como siempre en la programacion donde el profesor explicaba un poco rapido porque evidentemente este es el curso mas completo de Udemy y para explicar tanto en tan poco tiempo el profesor lo hizo excelente.;Positive;Positive Feedback
As a noobie developer, i´ve learned so much with this challenge, and hope to use all of this learning in my career.;Positive;Learning Experience
El curso muestra toda la implementación necesaria de una página web, es decir paso a paso dice cómo debemos aplicar base datos, HTML, Javascript y CSS.;Positive;Course Content
Excelente curso, muy completo. Excelente la forma de explicar. Desde lo más fácil hasta irlo complicando mas. Lo recomiendo 100%;Positive;Course Recommendation
Primeramente agradecer al profesor Juan por su muy buena forma de explicar el curso y a todos los profesores por el grandioso proyecto, aprendí mucho ahora me toca ponerlo en práctica  haciendo nuevos proyectos y así poder tener un buen portafolio, muchas gracias a los porfesores por responder cuando les hacia una pregunta o si tenia una alguna duda.;Positive;Instructor Quality
Un gran curso! Lo importante a recalcar es que finalizando no te harás un experto del desarrollo web, pero te dará unas fantásticas bases.;Positive;Course Quality
El mejor curso sobre estos temas, sin dudas, el profe explica todo muy bien y siempre atento a responder las preguntas de la gente. Super recomendado.;Positive;Instructor Quality
El contenido es muy bueno, es muy practico, tiene una excelente metodologia de enseñanza, en verdad tiene ganado el titulo de Profesor. Te responden todas las dudas, se preocupan porque el contenido quede claro. He visto muchas personas dar clases on line, saben muchisimo de codigos, pero sus metodologia de desarrollo es totalmente obsoletos, con medidas de seguridad precarias, con supuestos absurdos, en cambio Juan de la Torre sabe muy bien lo que hace. Aunque confieso que mis desarrollos no han sido del todo igual a los de el porque busco nutrirme de sus conocimientos, hacerlo a mi manera y agregarle muchas mas cosas para poder avanzar mejor;Positive;Instructor Quality
Excelente curso, supero mis expectativas. Cuando inicie no sabía nada de nada, termine sabiendo de muchas cosas que seguro me servirán a futuro en mi desarrollo profesional, si eres nuevo y no sabes por donde comenzar este es tu curso, nunca se hace pesado, el instructor es muy bueno y casi cualquier duda es aclarada. Muchas gracias profe Juan, este curso vale mucho más de lo que uno paga por él.;Positive;Course Recommendation
El curso es un lujo. Creo que no hay nada igual en ninguna parte. El profe es un crack total. Todo el conocimiento lo comparte. Enseña con proyectos que podes aplicar en la realidad. Sin dudas el mejor curso de Udemy y de todos lados jajaj.;Positive;Positive Feedback
Muchas gracias por todo lo que nos enseño profesor, esta increible el curso, la verdad para mi no fue un camino facil habia momentos en los que no me sentia capaza de terminar el curso, aun asi logre terminarlo con totla satisfaccion, ahora es momento de poner en practica todo lo aprendido y hacer mi propio portafolio.;Positive;Instructor Quality
El problema del curso es que muchas partes el profesor no se explica bien y aparte ya muchas de las funciones que usa no estan actualizadas y te daran bastantes errores.Podria mejorar mucho;Negative;Instructor Quality
El curso es extremadamente completo, obvio que es un poco pesado, pero vale toalmente la pena por todo lo que te enseña. Es un curso que me abrió diferentes perspectivas y visiones de todo el mundo del desarrollo Web. Gracias!!!;Positive;Course Content
Es un curso genial, tiene muchos proyecto que es lo que se necesita para aprender, practicar mucho. Los videos son cortos y concisos explicando en cada video una funcionalidad, de esta manera es mucho más cómodo ir a buscar algo concreto que necesites.;Positive;Course Content
La verdad un curso increíble, aprendí bastante me sorprende como todo esta tan bien hecho para que luego frameworks como symfony no cueste aprenderlos, en el camino me tope con muchos errores mas que nada por versiones recientes pero considero que juan no va a estar en mi trabajo diciéndome oye así se soluciona, así que aprendí a solucionarlos por mi cuenta, lo único malo entre comillas es que el instructor no comete errores me hubiera gustado aprender desde su forma a solucionarlos pero muy buen curso también tengo el de react y posiblemente me compre todos cuando termine los anteriores;Positive;Course Quality
La verdad muy bueno el curso, esta muy completo y lo mejor es que el instructor te responde cuando tienen una duda muy puntual;Positive;Instructor Quality
Me gusto, fue mi primer curso pago y aprendi mucho de cosas de html y css que fue lo que sabia pero me sirvio para perfeccionarlo, ya en la parte que se agrego javascript o php no es que sienta que esta mal explicado pero senti que fueron demasiados proyectos al final y a dia de hoy algunas cosas quedaron un poco desactualizadas por lo que trae problemas o tambien se siente mucha informacion nueva de golpe, pero es un buen curso;Positive;Course Content
Muy buen profesor! va medio rapido y hay muchas explicaciones en muy poco tiempo pero es cuestion de volver a mirar y repasar;Positive;Instructor Quality
Curso con aprendizaje todo, muchos detalles, mucha información. Hay que dedicarle tiempo, y se aprende el uso de muchas herramientas;Positive;Course Content
Desde luego este es el curso obligado para todo aquel que comienza. Si vas directo a un framework tipo React, Vue, etc sin saber nada, si que aprenderás, e incluso llegarás a crear proyectos, pero en el fondo no entenderás nunca ni la mitad de lo que haces, del porqué sucede todo. Eso te creará una angustia e inseguridad que no te la quitarás de encima nunca. Este curso te evitará todo eso y te dará alas para poder elegir con  criterio los siguientes pasos a seguir en tu carrera. Per-fec-to.;Positive;Course Recommendation
Voy por la mitad del proyecto (3 meses) y éste es todo lo que yo esperaba y mucho más! Se nota la dedicación y el trabajo que hay detrás, por la manera en la que van actualizando los proyectos y el equipo detrás que está siempre contestando las dudas de los estudiantes. 10/10.;Positive;Positive Feedback
Simplemente completo, aprendi todo lo que necesitaba aprender para poder adentrarme en este mundo, incluso mucho mas de lo que pensaba. 100% recomendado;Positive;Course Recommendation
Si, gracias a los profesores que aun con el paso del tiempo  continuan activos respondiendo todo tipo de consultas!!!;Positive;Positive Feedback
Juan, sos un Genio, sigo aorendiendo cada vez mas con tus videos. Si bien ya soy programador, pero no dejo de verlos xq asi voy descubriendo nuevas metodologias. Mil Gracias por todo.;Positive;Positive Feedback
Es un excelente curso, aprendí muchas cosas nuevas y conceptos que no tenía claros, un curso ampliamente recomendado.;Positive;Course Recommendation
Me ha encantado, he avanzando mucho. Con este curso aproveché mis vacaciones y me ha facilitado en mi nuevo semestre. También gracias al contenido he comprado más cursos del mismo profesor.;Positive;Course Recommendation
muy bueno, aprendí mucho con este curso y el profesor lo máximo, fácil de entender. Es una buena inversión este curso.;Positive;Course Quality
Excelente curso, me ha servido muchisimo para implementar ciertos sistemas por mi cuenta, un gran instructor sin duda.;Positive;Instructor Quality
Excelente curso, muy completo y bien explicado. Compré otro curso del profe porque me dejo muy buenas expectativas, aprendí más que en la univseridad sinceramente:) Gracias!;Positive;Course Quality
Muy conforme con el curso, te da bastantes conocimientos para poder empezar en el mundo del desarrollo web. Bien explicado, lo unico negativo que la estar casi al limite con los videos en udemy, hay videos que fueron borrando para publicar otros.;Positive;Course Quality
Excelente curso, soy estudiante de programación  y hacer este curso en paralelo con la universidad es de gran ayuda, ademas el profesor es excelente explicando.;Positive;Course Quality
es un curso al que se le debe poner mucha atención, me ha enseñado mucho y las dudas que han surgido se aclaran en los comentarios.;Positive;Course Quality
Sin duda alguna el mejor profesor, el mejor curso y los mejores proyectos de todo Udemy, curso recomendado al 100% un curso que te hace tener un bien nivel y con buenas prácticas.;Positive;Instructor Quality
voy por la mitad del curso solo puedo decir WOW, el profe de diez, los asistentes como Julio por ejemplo otro diez, y que decir de esta comunidad tan genial. No parece un curso de videos y ya esta, es una aula. Nos Ayudamos entre nosotros y es genial. Saludos desde España;Positive;Course Engagement
Este es el curso más completo y mejor explicado que he visto sobre el desarrollo web en general. Magnífico trabajo maestro!;Positive;Course Content
Aún no lo acabé el curso, pero me está resultando de gran ayuda en mi aprendizaje. No tengo nada de nivel en programación, no sabía lo que era Visual Studio Code y ya voy por mi 4 proyecto. Es algo increíble!!;Positive;Positive Feedback
Muy contento con este curso no es el primero que compro pero si el primero referente al desarrollo web, siento que aprendi mucho gracias a la forma de enseñar del profesor y se lo recomiendo a cualquiera que quiera aprender de la mejor manera;Positive;Course Recommendation
Un curso increible, llegue sin saber nada de programacion y ahora puedo construir un aplicacion web desde 0 de forma profesional.;Positive;Course Quality
considero que el maestro te enseña de la manera más práctica sin tanta teoría, un curso para introducirse en el mundo de la programación;Positive;Instructor Quality
La verdad que es excelente el curso. Muy organizado Juan. Homogéneo en la explicación, va al punto. Brinda muchos ejemplos. Estoy muy conforme con el contenido del curso.;Positive;Positive Feedback
El curso es muy completo, la explicación clara, se actualiza constantemente. La cantidad de projectos ayuda a la prática.;Positive;Completeness of Course
Curso bastante completo, el profesor explica de manera impecable y cada vez los contenidos son más entendibles...lo único que podría decir es que el curso se debería actualizar de manera más recurrente, ya que, varias sintaxis de php cambian de manera continua en sus nuevas versiones y algunas cosas van quedando deprecadas.;Positive;Course Content
Me gustó pero hubieron secciones donde aparece mucha teoria y para mi personalmente era dificil entender los ejemplos. Avanzaba muy rapido, tenía que retroceder el video y repetirlo muchas veces. Por todo lo demás, me gustó.;Negative;Course Quality
Hasta ahora es genial, me encanta y me despertó un interés y una pasión que no sabía que tenía dentro. El profe es maravilloso y se nota que sabe, es un placer escucharlo. No siento que sea una obligación, al contrario, me gusta mucho;Positive;Instructor Quality
Un curso demasiado completo, todos los temas abarcados a fondo y con un buen soporte, me parece el mejor curso que alguien puede ver para iniciar en el desarrollo web, aprender y volverse experto. Me alegro de haberlo adquirido;Positive;Course Recommendation
La experiencia viene siendo Excelente a mitad del curso, con muchas ganas de continuar y terminarlo prontamente <3;Positive;Course Engagement
Muy gusto mucho el curso. Muy completo y excelente la explicación del profesor paso a paso. Seguramente buscaré tomar algún otro curso con el.;Positive;Course Quality
la parte de java script no es tan claro si hablas tan rapido es facil para ti no para los que tomamos el curso;Negative;Instructor Quality
Excelente curso y profesor. He adquirido más cursos del autor para sequir aprendiendo con él. Muy recomendable.;Positive;Instructor Quality
Me ha parecido un curso increíble. Yo ya sabía programar de antes pero nunca había hecho desarrollo web y siento que he aprendido un montón. Los últimos proyectos se me hicieron más repetitivos y los pasé más rápido, porque se mascan mucho algunos conceptos que si has programado antes ya conoces, por lo que se nota que está diseñado especialmente para alguien que nunca haya programado. También es verdad que ciertos conceptos si vienes de 0 te puede costar más asimilarlos, y puedes tardar más en terminar el curso, pero igualmente vale la pena. Si no sabías programar, es una gran introducción. Si tienes base pero no de desarrollo web, es una gran opción para seguir aprendiendo. 10/10;Negative;Course Content
En verdad es un muy buen curso., Yo empece desde 0 (en verdad 0 nada de conocimientos) y le he podido seguir el hilo sin problema, he  avanzado mucho;Positive;Course Quality
Es perfecto aprender mientras realizas proyectos reales, es más fácil darte una idea de cómo funciona lo que estás haciendo en código;Positive;Practical Projects
Es el mejor curso de desarrollo web, esta muy completo, los temas son progresivos y estan orientados para gente que empieza desde 0 hasta para los que ya estan familiarizados con los lenguajes y la programación;Positive;Course Quality
El curso es excelente y los proyectos aplican lo que se aprende en cada sección es un curso muy practico y completo;Positive;Course Quality
Este curso es increíblemente completo, explicaciones claras y paso a paso, ideal para aprender desde cero, muy recomendado para empezar en el mundo del desarrollo web.;Positive;Course Content
"Me parece un muy buen curso por la forma en la que enseña, no es el típico que hablan y hablan; Todo es aprendiendo mientras haces proyectos, vale totalmente la pena.";Positive;Course Quality
Buen curso por el momento ya que no se pierde ningún detalle de lo que va a haciendo y su voz es agradable, es decir, te mantiene atento en todo momento.;Positive;Instructor Quality
Es un buen curso, Te enseña desde 0 todos los temas, Se va actualizando el curso e igualmente contestan todas tus dudas en los comentarios. Vale la pena comprarlo, Se los recomiendo.;Positive;Course Recommendation
Es un curso excelente apto para cualquier persona que busca iniciar programación en html y diseño web sin necesidad de conocimiento previo en el tema y también muy útil si ya cuentas con algo de experiencia (mi caso) por que puedes complementar muy bien tus conocimientos. Todo el curso está bien actualizado con la UI/UX que se requiere actualmente.;Positive;Course Quality
Aun me queda bastante curso por realizar pero por el momento es la primera vez en mi vida, de todas las que he intentado aprender a programar, que el curso me ha enganchado, y estoy aprendiendo muchisimo, el profesor es genial porque explica todo con tranquilidad. Una de las cosas que ha enganchado tambien es cuando te da animos para continuar auqnue las cosas se pongan dificiles, aprender a programar requiere su tiempo y su perseverancia y es muy facil tirar la toalla sobre todo al principio que todo lo ves  #000000;Positive;Course Engagement
Muy buen Profesor, todos los temas bien explicados y orientados a las buenas prácticas, los ejercicios ayudan a establecer un portafolio y ganar experiencia no solo teórica si no practica.;Positive;Instructor Quality
Excelente curso, muy completo, muy practico y muy bien explicado, seguire eligiendo al profesor en el futuro para realizar mis cursos de React y NodeJs que tengo en mis planes;Positive;Course Recommendation
Mis expectativas para el curso eran buenas, pero fueron aún mejores mientras iba avanzando en el curso, lo recomiendo al 100 x 100. Aprender con proyectos es la mejor manera de aprender !!;Positive;Course Recommendation
muy claro el curso explicado paso a paso de lo mas simple a lo mas complejo recomendadisimo a los que desean empezar con el desarrollo web;Positive;Course Recommendation
En lo personal considero que si fue buena elección, actualmente estudio ingeniería en software y esto me ayuda mucho a no solo quedarme con lo que me enseñan en la universidad, me gusta como se está llevando el curso.;Positive;Course Quality
Muy completo, explicativo y para mayor efectividad recomiendo ir realizando la practica en una pantalla adicional así puedes ir creando notas sobre el mismo codigo sobre lo visto.;Positive;Course Recommendation
Excelente explicación de Juan. Paso a paso, proyecto a proyecto. Creo que voy a optar por tomar otro curso más adelante de este profe de programación.;Positive;Instructor Quality
No lo he terminado aún pero por ahora me está pareciendo un curso fantástico. Todo superclaro a la hora de explicar los conceptos y muy práctico.;Positive;Positive Feedback
Es un buen curso y el primero que recibo de udemy he aprendido bastante, aun no lo termino, lo unico que algunas partes estan desactualizadas pero por el momento no ha influido ya que los profesores asistentes siempre despejan nuestras dudas.;Positive;Course Quality
Uno de los mejores profesores en español, sus cursos son entendibles, con muchas prácticas que te puedes encontrar en un trabajo real.;Positive;Instructor Quality
Me encanto, facil de entender e impolsa la investigacion autodidacta ya que te motiva a segui aprendiendo, ahora a por los demas gracias profe;Positive;Positive Feedback
Bueno, estoy por el comienzo. Lo recomiendo para alguien quien tiene una base usando html/css y quiere aplicar. Pero a las personas que estan en cero, diria que se mejor no. Es mi opinión;Positive;Course Recommendation
Tiene una introducción bastante robusta del contenido del curso, quizás algo larga, pero es precisamente la razón por la que me enlisté al mismo.;Positive;Course Content
Hasta el momento fue una excelente opción, pero una vez avance mas en el curso daré mi opinión de manera mas explayada.;Positive;Course Quality
El profesor tiene mucha pasion, experiencia y profesionalismo, lo mejor del curso es que recibi demasiada retroalimentacion a todas mis preguntas por mas absurdas que sean, un 10, saludos desde Bolivia.;Positive;Instructor Quality
Buen curso. Super completo. Tiene de todo. Y el profesor y sus profesores asistentes responden a todas las posibles dudas que puedas tener. Estoy seguro de que lo iré consultando en el futuro según lo vaya necesitando en mis proyectos.;Positive;Course Recommendation
Explica muy bien, y hace que parezca fácil ( para mi me resulta complicado en general), y hace que resulte mas interesante y se aprenda mucho! merece la pena con creces;Positive;Positive Feedback
Intento seguir al pie de la letra de lo que va diciendo, pero en algunos detalles falta un poco mas de explicación o énfasis en el asunto. Sobre todo en la parte del formulario, es entendible pero frustrante al ir arriba y abajo para poder ordenar.;Negative;Course Quality
Me ha gustado mucho, siento que se esfuerza en hacerlo lo más claro que puede cada lección y creo que más sencillo no lo encontraría, me estoy tomando mi tiempo en escuchar y aprender.;Positive;Positive Feedback
Me gusto el curso, porque aprendi a crear sitios web en php con modelo vista controlador y sass, en la cual tengo la posibilidad de realizar mis desarrollos mas rapido. Con respecto al meterial muy completo y bien explicado.;Positive;Course Content
me a gustado muchos los videos, soy una persona que esta aprendiendo desde cero y sin tener algún conocimiento de programación, pero si he aprendido y entendido;Positive;Positive Feedback
me encanta el curso, es muy detallado y hace que se entienda todo claramente, solo siento que en el teléfono se ve un poco pequeño el contenido en especial los textos mostrados, si el usuario pudiera hacer un pequeño acercamiento manual en la app creo que podría mejorar esa parte de la experiencia.;Positive;Course Content
"Casi me siento un estafador por haber pagado menos de 10 dólares por un curso tan completo y en el que resuelven tus dudas de forma tan dedicada. Cuando inicié era un novato que no tenía idea de que existieran la mitad de las tecnologías que vimos en el curso, ahora que lo terminé me siento bastante competente. Juan es un excelente maestro que procura no dejar cabos sueltos en su enseñanza. Creo que si Udemy no tuviera límite de videos hubiera metido más y más contenido XD. Muchas gracias por esta grandiosa experiencia; para mi este curso es una labor social :)";Positive;Positive Feedback
El curso está muy completo, excelente instructor es como si estuviera recibiendo la clase en vivo y no deja dudas de ningún detalle ha pensado en las inquitudes que se puede generar y las aclara de ante mano.;Positive;Positive Feedback
Es un buen curso, muy bien explicado, y lo mejor es que aprendes sobre las buenas prácticas lo cual ayuda bastante cuando vas empezando.;Positive;Course Quality
Aun en progreso del curso, pero debo decir que ese es un excelente curso y un profesor que explica muy bien los detalles de los proyectos y la teoria.;Positive;Instructor Quality
Siempre pense que escribir código era solo para eruditos e intelectuales, siempre quienes codeaban me hacian ver que esto era lo más complejo del mundo, pero este curso me enseño todo lo contrario. Muchas gracias por dar una herramientas para que todos podamos aprender profesor;Positive;Course Quality
Las explicaciones son muy claras y consigue que lo entienda todo. Viniendo desde cero consigue que me encante todo lo que aprendo.;Positive;Positive Feedback
Empieza muy bien el curso, pero llega un momento en que no sabes si seguir la instrucciones o no, porque luego las borra o dice esto lo vemos mas adelante, etc. Sabe de lo que habla pero al momento de querer trasmitirlo le falta mucho en eso ámbito.;Negative;Instructor Quality
Realmente cuenta con mucha experiencia en el ámbito de desarrollo el instructor y permite informar apropiadamente de cada tema que aborda en su curso.;Positive;Instructor Quality
Este curso supero mis expectativas, recomendado al 100%, pronto seguiré con otros cursos del mismo autor, explica muy bien y se le entiende muy bien y más si estas empezando desde 0.;Positive;Course Recommendation
Me ha gustado mucho el curso, me ha parecido completo y fácil de entender. Me habría gustado profundizar un poco más en la última parte donde se ven los gráficos.;Positive;Course Content
estoy estudiando una tecnica de analisis y desarrolo de software pero todo lo que he visto hasta ahora ha sido demasiado completo para mi. estoy muy emocionado;Positive;Course Content
Hola. Definitivamente estoy muy contento y agradecido por este maravilloso curso. Es muy completo y el Profesor Juan de La Torre de verdad explica muy bien y se preocupa por profundizar en la Lógica y enseñarnos las buenas Prácticas. He recomendado bastante este curso. Mis dos hijos adolescentes (13 y 15 años) lo están haciendo. yo le doy 10 estrellas...;Positive;Positive Feedback
