Content,Date,Consumer Sentiment Classifier,Automatic Classifier
"Wonderful store to work with. They guided me through some questions I had and helped me with a solution. 
                                                Diana",2024-02-19T00:00:00.0000000Z,Positive,Customer Service
These are so adorable.  I get compliments everytime someone visits and sees them.,2024-02-19T00:00:00.0000000Z,Positive,Adorableness
"This added the perfect touch of whimsy to our newly renovated bathroom. Well made, arrived quickly, it brings a smile every time we look at it. Thank you so much!",2024-02-18T00:00:00.0000000Z,Positive,Cuteness
First one got lost in the mail but a new one was resent quickly and its too cute!,2024-02-18T00:00:00.0000000Z,Positive,Cuteness
I can't wait to apply this to my sister's spare bathroom wall and wait for her to find it!  It is absolutely fantastic!,2024-02-17T00:00:00.0000000Z,Positive,Surprise
This is the highlight of my gallery powder room. Everyone loves it. Absolutely adorable.,2024-02-16T00:00:00.0000000Z,Positive,Adorableness
This little mouse is awesome and was the perfect surprise gift for my nephews,2024-02-16T00:00:00.0000000Z,Positive,Gift
"This mouse decal is SOOOO darn cute!!!!  :-D  I LOVE it!! Every time I look at it, I chuckle. It is a great conversation piece when someone comes over to visit. I want to get a couple more but can't make up my mind which ones. Great 3-D, they look so real.  Thank you!!!",2024-02-15T00:00:00.0000000Z,Positive,Cuteness
"Item arrived in great condition.  I love my 3D Decals.  I want to add that the first time I ordered this item, I did not receive it.  Must have gotten lost in transit.  The seller was very accommodating in replacing this item ASAP.  I really appreciate the prompt service that I received.  Thank you very much!",2024-02-13T00:00:00.0000000Z,Positive,Customer Service
So cute! Added to my kitchen and it looks exactly like an opening with a little friend,2024-02-13T00:00:00.0000000Z,Positive,Cuteness
So cute! Love it! Great quality great customer service and fast shipping. I will totally recommend this!,2024-02-12T00:00:00.0000000Z,Positive,Cuteness
"Oh-MY-GOOOOSH!! This little bugger is my favorite. Look at his cute little feet, LOL! I'm 55 and entertained. Imagine those who have babies and little ones running around the house?",2024-02-12T00:00:00.0000000Z,Positive,Cuteness
It's cute! I put it in the corner of the bathroom and the grandkids enjoy it haha,2024-02-11T00:00:00.0000000Z,Positive,Cuteness
So cute. I had company over and I placed them in the bathroom. When they came out they could not help but notice :),2024-02-11T00:00:00.0000000Z,Positive,Cuteness
"Cute as a button!  Excellent quality decal!  Had to remove and replace as it was crooked.   Easy to peel off and stuck well after reapplying.  Shipping was like having Prime!  Thanks!  As the Terminator said "" I'll be back""!",2024-02-11T00:00:00.0000000Z,Positive,Cuteness
"So cute! I can't wait for this to catch my granddaughter's eye. Great design, quality, and fast shipping! Will be back to order more!!",2024-02-10T00:00:00.0000000Z,Positive,Cuteness
The wall sticker is super easy to apply.  Just peel and stick.  Much easier than using stencils.  The image is so cute.  It literally looks like the mouse is popping out of the wall.  Perfect accent to my bathroom!!,2024-02-09T00:00:00.0000000Z,Positive,Cuteness
I haven’t seen it in person yet. My sister and niece are moving into a new home and my niece saw this and I had to buy it for her. She’s very excited and can not wait to put it up.,2024-02-09T00:00:00.0000000Z,Positive,Gift
CUTE ! Make Sure Mother In Law approves before applying ! Fully removable and can be RE-Placed in different locations….Thank You :),2024-02-09T00:00:00.0000000Z,Positive,Cuteness
Super cute addition to our guest bathroom.  Everyone always comments on it.,2024-02-06T00:00:00.0000000Z,Positive,Cuteness
This mouse is adorable! I’m so glad I purchased it. I’m putting in my main bathroom and can’t wait for people to notice it. Great customer service too!,2024-02-05T00:00:00.0000000Z,Positive,Cuteness
Very good quality and received really fast.  Our grandchildren are going to love this.,2024-02-03T00:00:00.0000000Z,Positive,Quality
"Granddaughter loves this in her bathroom, where she also does some reading. Good quality, sale and delivery process.",2024-02-03T00:00:00.0000000Z,Positive,Quality
This is very cute little sticker.  I have it in a corner of my bathroom and looks adorable.  Thank you.,2024-02-02T00:00:00.0000000Z,Positive,Cuteness
Had an issue with shipping (though it wasn’t the seller’s fault) and she was very responsive in resolving it. The sticker is beyond beautiful. 10/10 quality. I would definitely buy again.,2024-02-02T00:00:00.0000000Z,Positive,Customer Service
"My first order unfortunately got last in the shipping process, but the shop owner was incredibly nice about the whole issue and sent another one out right away. And it completely exceeded my expectations, this decal is SO MUCH cuter and realistic in person. I would definitely order this and from this shop again, thank you so much again!! 🩷🩷🩷",2024-02-01T00:00:00.0000000Z,Positive,Customer Service
"This is the cutest little novelty item! So, detailed and realistic. Love it!!!",2024-02-01T00:00:00.0000000Z,Positive,Cuteness
"Love it, so cute! Awesome! Fast shipping! Definitely recommend this shop!",2024-01-31T00:00:00.0000000Z,Positive,Cuteness
Had delivery problems but I contacted Stephanie and she was able to resend my order. I get tons of comments about how cute it is. I would recommend this product they are adorable.,2024-01-31T00:00:00.0000000Z,Positive,Customer Service
These are so cute! I am going to purchase more— perfect for any room. High quality and super fast shipping.,2024-01-31T00:00:00.0000000Z,Positive,Cuteness
"These are so oooo cute. I love it. It gets a conversation going , plus a few questions ! Is that a mouse on the molding ??????",2024-01-30T00:00:00.0000000Z,Positive,Cuteness
My first decal never made it to me and Stephanie sent me another one super fast. It is soooo adorable.  I can’t wait to put it in my wall.,2024-01-29T00:00:00.0000000Z,Positive,Customer Service
This sticker is so cute.  I have it in my bathroom and I love when people notice it!  I’m going to be sticking a bunch of these through the house for some whimsical charm.  They are great quality.,2024-01-28T00:00:00.0000000Z,Positive,Cuteness
We love it! It's in our bathroom and we get a lot of compliments. We placed it on one spot but then found a better placement. We were afraid of peeling it off and ruining it but it peeled off fine and did not lose it's stick.,2024-01-28T00:00:00.0000000Z,Positive,Quality
The stickers are made of sturdy material and are easy to apply. Good quality 👍🏼,2024-01-29T00:00:00.0000000Z,Positive,Quality
Super cute and feels durable.  I haven’t tested it on the wall yet but I am confident it will hold up nicely!,2024-01-27T00:00:00.0000000Z,Positive,Cuteness
"Great quality, matched the description perfectly and yes, definitely met my expectations! As any mouse sitting on a toilet decal would, I highly expected to get a smirk from my teenage son and I got just that. Excellent! Definitely recommend!",2024-01-26T00:00:00.0000000Z,Positive,Quality
Absolutely adorable! Great quality. Will definitely buy from this seller again.,2024-01-25T00:00:00.0000000Z,Positive,Cuteness
What an adorable decal! It is amazing how the simplest thing can bring so much happiness. Thank you for delivering on time and as promised.,2024-01-24T00:00:00.0000000Z,Positive,Adorableness
"It came in an envelope, easy to get bent during shipping. Maybe between two pcs of cardboard would make a better durable shipping method. But it’s wonderful!",2024-01-24T00:00:00.0000000Z,Positive,Shipping
This is the cutest wall sticker - I can't wait to hang it up in the bathroom.,2024-01-23T00:00:00.0000000Z,Positive,Cuteness
"It's so cute, can't wait to get the rest of my order to see where I'll put each.",2024-01-23T00:00:00.0000000Z,Positive,Cuteness
"I bought a few MyWallStickers decals of mice in the wall.  My grandson loves them. The pictures are clear. The mice are darling. Actually, my grandson is 4 years old  and he has outgrown them, I have already asked to have them back so I can use them in my own home.",2024-01-22T00:00:00.0000000Z,Positive,Cuteness
This little mouse decal is so cute. I plan to stick my decal on the baseboard in the bathroom and wait to see when folks notice it.,2024-01-22T00:00:00.0000000Z,Positive,Cuteness
So cute - I’ve built a new bathroom at our house and look forward to putting this just along the baseboards to give people a chuckle in the loo. Thank you!,2024-01-19T00:00:00.0000000Z,Positive,Cuteness
Looked exactly like the pictures and I love how it looks on the wall. So cute!,2024-01-19T00:00:00.0000000Z,Positive,Cuteness
"Super cute!  Delivery was really fast, and the item is exactly as described.",2024-01-17T00:00:00.0000000Z,Positive,Cuteness
Just makes me laugh every time I look at him! Arrived quickly and safely.,2024-01-13T00:00:00.0000000Z,Positive,Humor
"Love these little critters.  I ordered one for the bathroom, and  a mouse holding a heart was thrown in for free.  He is now my official greeter, meeting my guests at the front door.
Durable, good quality",2024-01-12T00:00:00.0000000Z,Positive,Cuteness
I purchase this for a friend that has rat problems this winter season and has a 6 year old that fell in love with the rat and was sad when it was gone. This is a great gift.,2024-01-12T00:00:00.0000000Z,Positive,Gift
Absolutely love this sticker...put in my guest bath...everyone loves it!,2024-01-11T00:00:00.0000000Z,Positive,Cuteness
"Great material! Beautiful graphics! Can’t wait for the bathroom remodel
To be complete so i can put it up! Thanks!",2024-01-10T00:00:00.0000000Z,Positive,Quality
So adorable. Can't wait for the grandsons to visit and see it. Great quality.,2024-01-09T00:00:00.0000000Z,Positive,Adorableness
This wall sticker is adorable! The design and quality of the material is excellent.,2024-01-09T00:00:00.0000000Z,Positive,Adorableness
This is absolutely adorable!! Now I want all of them!! Super fast shipping!! Thank you so very much!!,2024-01-09T00:00:00.0000000Z,Positive,Cuteness
If I could give 10 stars for customer service I would! ❤️ shipping the 2 nd time was perfect,2024-01-08T00:00:00.0000000Z,Positive,Customer Service
This is an incredible seller on Etsy! She will make custom sizes if applicable. Very kind and great to purchase from!,2024-01-07T00:00:00.0000000Z,Positive,Customer Service
Absolutely adorable. My 3 children think it’s hilarious. Cute little whimsical touch to our bathroom.,2024-01-05T00:00:00.0000000Z,Positive,Cuteness
"I purchased about 10 total as that ""lil extra"" to go along with Christmas gift and they were a huge hit. Can't we all use a little magical imagination???  ;-)",2024-01-05T00:00:00.0000000Z,Positive,Gift
Loved the stickers ... I'll definitely be back to buy more things from this seller!,2024-01-03T00:00:00.0000000Z,Positive,Customer Service
Love this! It’s so cute & whimsical. Very high quality and vivid colors,2024-01-03T00:00:00.0000000Z,Positive,Cuteness
Super cute little sticker. Added it to my bathroom for a funny little moment.,2024-01-02T00:00:00.0000000Z,Positive,Cuteness
"Adorable sticker- but got all squished up during shipping. 
Maybe ship it between 2 card stock pages or a sturdier envelope? Waiting for it to flatten down still.",-,Negative,Shipping
I’m so excited I’m hiding it by the toilet and waiting to see who sees it,2023-12-30T00:00:00.0000000Z,Positive,Humor
This little decal was a hit at my Christmas gathering. It came very quickly I placed it in the guest bathroom and everyone loved it!  The colors are bright and clear. I absolutely love it. I highly recommend it.,2023-12-29T00:00:00.0000000Z,Positive,Cuteness
"Lovely decal, arrived quickly with a lovely note and an extra decal, much appreciated",2023-12-29T00:00:00.0000000Z,Positive,Gift
"Everything fine. I had requests for changes afterwards, which were implemented without any problems.
Only the postage hurts.",2024-01-01T00:00:00.0000000Z,Positive,Shipping
"Adorable images, great quality. Had shipping issue where shipping scan stopped mid-transit. She got a new set sent. Highly recommend!",2023-12-26T00:00:00.0000000Z,Positive,Shipping
I bought two different decals and they are both adorable.  My guests had a giggle out of one I placed in a guest bath.,2023-12-26T00:00:00.0000000Z,Positive,Cuteness
Love the little mouse. I bought the 4” size. Nice quality. Easily removes from wall without damaging,2023-12-24T00:00:00.0000000Z,Positive,Quality
These wall stickers are absolutely beautiful!. I am going to surprise my family and friends!! i bought the toilet mouse,2023-12-24T00:00:00.0000000Z,Positive,Adorableness
"Cute‼️ Easy to remove decal from backing unlike some others for sale on Etsy. Larger than expected, which was nice for viewing when placement was on baseboard. Decal is on larger backing so it can be replaced on backing for storage and use in the future.",2023-12-22T00:00:00.0000000Z,Positive,Cuteness
"So so cute highly anticipated fun comments coming from visiting bathroom peeps 
👏🏻🎄🐾",2023-12-22T00:00:00.0000000Z,Positive,Cuteness
So cute.  Clever idea to add a bit of humor to a room.  Item arrived in perfect condition.  Thank you.,2023-12-21T00:00:00.0000000Z,Positive,Cuteness